order_id,order_date,region,product_line,sales_amount
1,2024-06-01,South,Premium,5064.194431022143
2,2024-06-01,North,Premium,2059.28876906699
3,2024-06-01,South,Premium,5180.136526606445
4,2024-06-01,South,Premium,5278.824238409322
5,2024-06-01,West,Budget,2586.6681523652805
6,2024-06-01,West,Budget,2579.9729114143365
7,2024-06-01,North,Budget,2173.0636542471025
8,2024-06-01,North,Budget,2686.809200937682
9,2024-06-01,North,Premium,2077.5071385545634
10,2024-06-01,South,Budget,2808.008892303089
11,2024-06-01,South,Budget,2955.152301774194
12,2024-06-01,South,Budget,2809.944962766942
13,2024-06-01,South,Premium,5382.686577620908
14,2024-06-01,North,Premium,2284.6666203796162
15,2024-06-01,South,Premium,4838.117935346294
16,2024-06-01,West,Premium,3443.5695154547757
17,2024-06-01,West,Premium,3269.4898560072515
18,2024-06-01,South,Premium,5052.386701264005
19,2024-06-01,South,Budget,3551.0310562738105
20,2024-06-01,West,Premium,3307.050536953084
21,2024-06-01,South,Premium,4901.165698668625
22,2024-06-01,South,Budget,3466.5110269629486
23,2024-06-01,North,Premium,1991.8749081667002
24,2024-06-01,North,Budget,2422.4231540034148
25,2024-06-01,West,Premium,3562.0357678773903
26,2024-06-01,South,Budget,3128.7338895076236
27,2024-06-01,South,Premium,4907.177325593206
28,2024-06-01,South,Premium,4984.1693173289195
29,2024-06-01,South,Budget,2675.814671260463
30,2024-06-01,South,Budget,2876.382787183199
31,2024-06-01,South,Premium,4555.31669420723
32,2024-06-01,South,Budget,2791.3880507493095
33,2024-06-01,North,Premium,2124.1242579428917
34,2024-06-01,South,Budget,3245.3841498401025
35,2024-06-01,North,Budget,2606.1685133687806
36,2024-06-01,South,Budget,3175.3193988426683
37,2024-06-01,South,Premium,4981.8960764608255
38,2024-06-01,South,Budget,2495.937525406477
39,2024-06-01,South,Premium,4817.964319047148
40,2024-06-01,West,Budget,2936.5570540534054
41,2024-06-01,South,Budget,2907.296453948267
42,2024-06-01,West,Budget,2810.419306986891
43,2024-06-01,West,Budget,2872.1758811561203
44,2024-06-01,South,Premium,4992.763524544039
45,2024-06-01,South,Budget,3095.486206618562
46,2024-06-01,South,Budget,3166.611246342013
47,2024-06-01,West,Budget,2567.72994554311
48,2024-06-01,North,Premium,1891.1742366564322
49,2024-06-01,South,Budget,3021.097839273658
50,2024-06-01,South,Premium,4908.795339471152
51,2024-07-01,South,Budget,2908.37797994744
52,2024-07-01,South,Premium,5277.5122863046845
53,2024-07-01,North,Premium,2200.1296724404883
54,2024-07-01,South,Premium,4830.164034557011
55,2024-07-01,West,Premium,3321.898822715241
56,2024-07-01,West,Budget,2915.672440003029
57,2024-07-01,North,Budget,2283.633228297097
58,2024-07-01,North,Premium,2230.387079913201
59,2024-07-01,South,Budget,2933.6385304740875
60,2024-07-01,West,Premium,3356.595552785888
61,2024-07-01,South,Premium,4855.5099022258155
62,2024-07-01,West,Premium,3797.933129669345
63,2024-07-01,North,Budget,2980.0610177996305
64,2024-07-01,West,Budget,2868.521718136102
65,2024-07-01,North,Budget,2347.0067102292223
66,2024-07-01,North,Budget,2513.419743342359
67,2024-07-01,South,Budget,2927.499114466034
68,2024-07-01,South,Budget,3365.581838332577
69,2024-07-01,North,Premium,2361.2005995683053
70,2024-07-01,North,Premium,2375.7838877142012
71,2024-07-01,South,Premium,4555.488747960043
72,2024-07-01,South,Premium,4804.670360159036
73,2024-07-01,South,Budget,2885.6209490125316
74,2024-07-01,South,Budget,2860.9175608117253
75,2024-07-01,North,Premium,2150.351031814267
76,2024-07-01,South,Budget,3221.1725702548365
77,2024-07-01,South,Budget,2994.112624137183
78,2024-07-01,West,Budget,2882.3195127232734
79,2024-07-01,North,Premium,2335.360467779502
80,2024-07-01,South,Premium,4956.406877835722
81,2024-07-01,South,Premium,4926.285698064149
82,2024-07-01,South,Budget,2807.7774254729384
83,2024-07-01,West,Premium,3520.3466743238832
84,2024-07-01,South,Premium,5259.620047172496
85,2024-07-01,South,Budget,2708.9572869577028
86,2024-07-01,West,Budget,2709.977103628083
87,2024-07-01,South,Budget,3120.749966234175
88,2024-07-01,South,Premium,4923.383036611897
89,2024-07-01,West,Budget,2724.8691409451235
90,2024-07-01,South,Premium,5054.637635616255
91,2024-07-01,North,Budget,2181.145241281706
92,2024-07-01,West,Premium,3457.2702768621402
93,2024-07-01,West,Premium,3279.8207573159348
94,2024-07-01,South,Budget,3127.0981196475077
95,2024-07-01,South,Budget,2956.6433193806147
96,2024-07-01,North,Premium,2146.028226394477
97,2024-07-01,West,Premium,3872.214412604857
98,2024-07-01,North,Budget,2502.65663358331
99,2024-07-01,West,Budget,2619.645824529437
100,2024-07-01,South,Premium,4855.6470615465905
101,2024-07-31,South,Budget,3223.8755544104342
102,2024-07-31,South,Premium,4626.858030141264
103,2024-07-31,North,Premium,2359.9165577077656
104,2024-07-31,West,Budget,2997.551162536287
105,2024-07-31,North,Budget,2437.542548267475
106,2024-07-31,South,Premium,5104.860435224662
107,2024-07-31,South,Budget,3011.8191433064876
108,2024-07-31,South,Budget,3050.688713664438
109,2024-07-31,South,Premium,4912.201175477297
110,2024-07-31,South,Budget,3175.59845100798
111,2024-07-31,West,Premium,3457.756741248706
112,2024-07-31,South,Budget,2969.821115461004
113,2024-07-31,North,Premium,2068.204852197419
114,2024-07-31,North,Premium,2530.780001623016
115,2024-07-31,South,Premium,4631.737848312008
116,2024-07-31,South,Premium,4659.266600835737
117,2024-07-31,North,Premium,2282.8320234971848
118,2024-07-31,West,Premium,3239.828725960989
119,2024-07-31,South,Budget,2864.449479162136
120,2024-07-31,North,Premium,2413.7965351563657
121,2024-07-31,South,Budget,3283.9853597474066
122,2024-07-31,North,Premium,2201.386006023044
123,2024-07-31,South,Budget,2819.0830325508973
124,2024-07-31,North,Budget,2704.363519612192
125,2024-07-31,South,Premium,4795.239214415529
126,2024-07-31,South,Premium,4894.650362812143
127,2024-07-31,South,Budget,3461.5879400098697
128,2024-07-31,South,Premium,4999.664940377087
129,2024-07-31,South,Premium,4664.648642341272
130,2024-07-31,West,Budget,2401.3948166089463
131,2024-07-31,South,Premium,4764.466174432416
132,2024-07-31,West,Premium,3462.4086645558937
133,2024-07-31,West,Budget,2854.752342451451
134,2024-07-31,South,Budget,3068.2413506008634
135,2024-07-31,West,Premium,3178.7858386583366
136,2024-07-31,South,Budget,2832.3943353658583
137,2024-07-31,South,Budget,3223.417303984152
138,2024-07-31,South,Premium,4837.20191206838
139,2024-07-31,North,Premium,2319.343797548459
140,2024-07-31,West,Budget,2988.9267801879705
141,2024-07-31,West,Budget,2554.371086813003
142,2024-07-31,South,Budget,3257.8390620645773
143,2024-07-31,West,Budget,2912.952335247363
144,2024-07-31,South,Budget,3125.061727381992
145,2024-07-31,West,Premium,3038.6711424330306
146,2024-07-31,South,Premium,4977.023964040743
147,2024-07-31,West,Premium,3322.311644974348
148,2024-07-31,South,Premium,4990.318627679108
149,2024-07-31,South,Budget,2753.9540784310952
150,2024-07-31,South,Premium,5085.045622576389
151,2024-08-30,South,Premium,4735.325132714143
152,2024-08-30,North,Budget,2848.2712372382393
153,2024-08-30,South,Premium,4825.751260409679
154,2024-08-30,West,Premium,2958.4914380350715
155,2024-08-30,West,Premium,3204.7830725176327
156,2024-08-30,North,Budget,2485.2499110920103
157,2024-08-30,South,Budget,2893.1617917676117
158,2024-08-30,West,Budget,2799.7329235353277
159,2024-08-30,South,Budget,3129.2611765864385
160,2024-08-30,North,Premium,2682.3858838394017
161,2024-08-30,West,Budget,3185.589590875529
162,2024-08-30,South,Premium,4697.924202209573
163,2024-08-30,West,Budget,2988.941198505007
164,2024-08-30,North,Premium,2924.5131640464697
165,2024-08-30,South,Budget,2909.117434808559
166,2024-08-30,North,Budget,2441.1873043045157
167,2024-08-30,North,Premium,2343.5089406323054
168,2024-08-30,South,Premium,4637.426102776907
169,2024-08-30,North,Premium,1997.9370386452733
170,2024-08-30,South,Budget,3171.2630292305957
171,2024-08-30,South,Premium,4542.191170293284
172,2024-08-30,North,Budget,2450.9229995929604
173,2024-08-30,South,Premium,4779.5797924340295
174,2024-08-30,North,Budget,2934.554787234144
175,2024-08-30,West,Premium,3494.682116779779
176,2024-08-30,South,Budget,2987.05202737723
177,2024-08-30,South,Budget,3370.7306345625775
178,2024-08-30,South,Premium,4004.268763384477
179,2024-08-30,West,Budget,2634.895597047994
180,2024-08-30,North,Premium,2453.914053417958
181,2024-08-30,North,Budget,2790.8785352673767
182,2024-08-30,South,Premium,5037.507125002575
183,2024-08-30,South,Budget,2580.576159458439
184,2024-08-30,West,Budget,2554.740983495122
185,2024-08-30,West,Budget,2821.189718964646
186,2024-08-30,South,Premium,5142.385685231166
187,2024-08-30,South,Budget,2927.0694459716856
188,2024-08-30,South,Premium,4998.433147723121
189,2024-08-30,North,Budget,2854.5790467626766
190,2024-08-30,North,Budget,2462.8048112897122
191,2024-08-30,West,Premium,3364.003938483082
192,2024-08-30,North,Budget,2714.221120750769
193,2024-08-30,South,Premium,4711.7998827439515
194,2024-08-30,North,Budget,2884.7926259379055
195,2024-08-30,South,Premium,4676.348266162157
196,2024-08-30,South,Premium,4564.123141620278
197,2024-08-30,South,Premium,4419.803194292655
198,2024-08-30,South,Premium,4837.292541563695
199,2024-08-30,South,Premium,4544.956817778069
200,2024-08-30,West,Premium,3270.7750681877337
201,2024-09-29,North,Budget,2854.564549438258
202,2024-09-29,South,Budget,3116.6538318058565
203,2024-09-29,West,Premium,3196.7993002864773
204,2024-09-29,West,Budget,2745.048299224586
205,2024-09-29,South,Budget,3596.630027868422
206,2024-09-29,South,Premium,4897.338687516484
207,2024-09-29,South,Budget,3056.807006974338
208,2024-09-29,South,Budget,3241.1673141310534
209,2024-09-29,South,Budget,3336.979124868031
210,2024-09-29,West,Premium,3742.866030064242
211,2024-09-29,North,Premium,2513.5872974477998
212,2024-09-29,West,Budget,2944.485551042619
213,2024-09-29,South,Premium,4908.41927158539
214,2024-09-29,North,Budget,2656.83587766394
