order_id,customer_id,order_date,channel,revenue
1,1144,"Jan 01, 2025",app,
2,1179,"Jan 01, 2025",store,
3,1267,01/01/2025,web,
4,1016,2025-01-01,app,192.36
5,1222,"Jan 02, 2025",store,165.11
6,1081,2025-01-02,web,250.79
7,1399,02/01/2025,app,
8,1399,02/01/2025,store,
9,1042,03/01/2025,app,191.68
10,1220,03/01/2025,app,186.49
11,1163,2025-01-03,web,200.54
12,1316,2025-01-03,app,
13,1387,2025-01-04,app,
14,1386,2025-01-04,web,
15,1110,"Jan 04, 2025",app,167.82
16,1010,2025-01-04,store,183.24
17,1298,"Jan 05, 2025",web,
18,1115,"Jan 05, 2025",store,
19,1294,2025-01-05,web,235.03
20,1029,2025-01-05,store,
21,1009,2025-01-06,web,166.46
22,1224,2025-01-06,app,217.19
23,1364,06/01/2025,app,179.09
24,1293,06/01/2025,store,190.66
25,1295,07/01/2025,store,166.99
26,1298,2025-01-07,app,196.4
27,1121,07/01/2025,store,
28,1320,"Jan 07, 2025",web,209.44
29,1070,08/01/2025,web,
30,1228,"Jan 08, 2025",app,182.66
31,1354,2025-01-08,web,193.79
32,1306,2025-01-08,store,224.23
33,1276,"Jan 09, 2025",web,
34,1260,2025-01-09,web,
35,1004,2025-01-09,web,190.89
36,1309,09/01/2025,web,
37,1281,2025-01-10,app,204.77
38,1320,2025-01-10,web,172.88
39,1246,10/01/2025,store,
40,1004,"Jan 10, 2025",web,250.43
41,1154,"Jan 11, 2025",store,214.42
42,1169,11/01/2025,store,
43,1363,11/01/2025,web,
44,1273,11/01/2025,web,236.96
45,1121,2025-01-12,web,208.18
46,1165,"Jan 12, 2025",store,
47,1075,2025-01-12,web,193.97
48,1371,12/01/2025,store,222.75
49,1289,2025-01-13,store,
50,1252,13/01/2025,store,213.01
51,1108,"Jan 13, 2025",app,
52,1390,13/01/2025,web,175.84
53,1397,"Jan 14, 2025",app,224.2
54,1273,"Jan 14, 2025",store,129.07
55,1283,14/01/2025,store,225.26
56,1050,2025-01-14,store,157.23
57,1125,2025-01-15,app,
58,1194,2025-01-15,store,188.41
