order_id,region,product_type,price,promotion,noise_index,sales_amount
1,B,X,36.06,0,48.98,53.06
2,C,X,30.88,0,42.05,38.5
3,A,X,37.89,0,58.68,41.45
4,A,Y,106.08,0,45.09,95.06
5,A,Y,100.98,0,44.71,100.67
6,A,Y,90.63,0,37.42,106.83
7,C,Y,101.66,0,48.1,109.96
8,C,X,38.35,1,50.31,41.34
9,B,X,29.18,0,64.16,58.05
10,B,X,21.96,0,49.8,55.45
11,A,Y,98.02,0,54.93,111.34
12,C,X,30.42,0,62.86,46.56
13,B,X,26.57,1,37.75,81.21
14,C,X,29.5,0,64.03,46.97
15,B,X,27.0,0,37.43,62.06
16,B,X,30.39,0,55.78,44.82
17,B,Y,101.76,1,47.07,118.06
18,A,Y,82.68,0,59.41,123.39
19,C,Y,96.23,0,48.26,113.36
20,C,X,22.76,0,52.1,53.57
21,A,Y,100.17,0,34.77,104.05
22,A,Y,93.19,0,71.16,111.84
23,C,X,28.57,0,65.58,35.76
24,A,Y,107.28,1,55.82,98.33
25,A,Y,98.12,0,60.65,121.8
26,C,X,23.92,0,49.83,58.75
27,C,Y,85.64,0,52.11,123.17
28,B,X,35.05,0,34.94,57.35
29,B,X,19.21,0,49.41,64.53
30,B,X,30.72,1,53.05,59.84
31,A,X,36.49,0,77.4,33.26
32,C,X,36.18,1,37.42,48.44
33,A,X,27.31,0,43.71,41.26
34,B,Y,86.69,1,46.33,154.87
35,C,X,32.77,1,63.63,52.03
36,A,X,32.59,0,40.97,30.52
37,C,X,36.23,0,35.48,44.22
38,C,X,33.33,0,59.29,51.64
39,B,X,35.97,1,50.54,65.6
40,A,Y,103.6,0,45.93,110.79
41,B,X,35.82,0,62.1,60.21
42,A,Y,91.97,0,40.99,113.85
43,B,X,39.02,0,49.16,55.63
44,C,X,31.99,1,46.58,48.11
45,C,X,31.13,0,48.49,46.34
46,A,Y,84.38,0,42.71,114.69
47,B,X,34.87,0,32.47,51.34
48,C,X,30.79,0,34.3,47.03
49,A,Y,92.86,0,65.73,107.25
50,C,Y,101.67,0,39.7,123.11
51,A,Y,95.24,1,41.06,119.86
52,B,X,30.13,0,38.41,61.69
53,B,X,33.16,0,46.93,46.87
54,C,X,27.92,0,50.07,41.72
55,A,Y,101.67,0,56.68,105.75
56,A,Y,86.59,1,72.0,135.34
57,C,X,30.6,0,60.62,44.63
58,C,X,34.97,1,45.79,40.2
59,A,Y,100.87,0,42.33,114.4
60,C,X,36.35,0,48.4,45.66
61,B,X,39.01,0,62.54,47.6
62,A,Y,102.45,0,58.34,111.53
63,C,X,37.61,0,75.12,52.12
64,C,X,28.75,0,47.78,49.58
65,C,X,40.0,0,44.5,41.55
66,A,Y,101.53,1,43.8,100.74
67,B,X,31.59,0,49.7,53.33
68,C,X,35.99,0,54.62,48.46
69,C,Y,85.96,0,50.83,127.9
70,A,Y,90.83,0,54.23,115.79
71,B,X,32.22,1,56.18,60.86
72,C,Y,96.73,1,42.78,123.54
73,A,Y,92.54,0,62.67,108.61
74,C,X,31.15,0,55.57,45.62
75,B,X,32.94,0,57.33,52.13
76,C,X,25.15,0,62.23,39.04
77,A,Y,103.05,0,56.2,104.68
78,B,X,31.62,1,54.52,71.68
79,C,Y,96.49,0,55.42,117.3
80,C,X,28.71,1,46.47,65.75
81,B,X,29.41,1,68.16,55.88
82,B,X,32.77,1,41.93,69.5
83,C,X,32.4,0,61.83,55.82
84,A,X,34.84,0,53.16,41.53
85,B,X,30.57,0,48.72,57.11
86,B,X,29.63,0,60.63,66.32
87,A,Y,115.92,0,52.12,105.3
88,A,Y,84.87,0,55.64,110.11
89,C,X,38.86,0,49.01,47.45
90,A,Y,92.25,0,55.95,121.78
91,B,X,30.79,0,42.64,64.73
92,B,X,26.28,1,66.04,81.5
93,C,X,38.72,0,36.91,51.89
94,A,Y,107.42,1,45.65,89.04
95,A,Y,72.32,0,62.52,125.24
96,C,X,27.03,1,45.07,72.35
97,C,X,33.21,1,56.83,43.63
98,B,X,36.18,1,34.4,48.19
99,C,X,34.99,0,29.06,44.58
100,A,Y,85.31,0,55.84,106.87
101,B,X,23.65,1,39.29,76.03
102,C,X,30.53,0,44.55,48.93
103,C,X,31.61,0,39.2,41.86
104,C,X,31.99,0,50.8,36.57
105,C,X,29.0,0,45.3,49.99
106,A,Y,94.57,0,30.39,107.95
107,B,X,30.99,0,64.64,58.05
108,B,Y,89.96,0,39.44,121.64
109,B,X,31.88,0,57.16,34.55
110,A,Y,87.31,0,57.3,103.29
111,B,Y,83.07,0,57.63,133.89
112,C,X,36.05,1,62.7,47.39
113,C,X,32.87,0,46.7,46.84
114,A,Y,106.53,0,49.3,109.49
115,C,X,18.51,0,48.0,45.45
116,C,X,31.68,0,42.74,47.81
117,A,Y,84.87,0,47.95,114.02
118,A,Y,82.34,0,41.03,110.73
119,A,Y,96.15,0,55.51,105.54
120,A,Y,102.51,0,23.05,97.45
121,C,X,35.36,1,69.17,49.45
122,C,Y,91.11,0,68.84,102.03
123,C,Y,100.87,0,50.05,117.08
124,C,X,36.6,1,52.06,47.79
125,B,X,28.97,0,42.62,62.45
126,B,X,32.7,0,44.32,52.48
127,A,Y,102.52,1,51.83,112.79
128,C,X,22.54,0,63.19,52.07
129,A,Y,68.51,1,60.96,172.07
130,B,X,28.22,0,71.52,59.5
131,A,Y,93.7,0,37.06,108.94
132,C,X,34.13,1,40.57,52.75
133,A,Y,103.9,0,65.68,106.8
134,A,Y,90.6,0,36.94,122.87
135,B,X,26.71,1,54.92,76.43
136,C,X,31.04,0,40.46,50.22
137,C,X,37.93,1,23.34,43.93
138,A,Y,89.26,0,65.39,123.45
139,B,X,35.85,0,57.35,47.29
140,A,Y,92.06,1,48.62,114.51
141,C,X,32.82,0,51.4,45.69
142,B,X,35.97,0,54.8,52.0
143,C,X,41.86,0,47.91,44.94
144,B,X,29.79,0,51.08,58.83
145,B,X,33.22,0,36.35,53.56
146,C,X,29.64,1,54.67,53.41
147,A,X,25.71,0,52.94,37.63
148,A,Y,95.29,0,37.7,110.64
149,B,X,27.05,0,57.27,56.39
150,B,X,31.15,1,36.69,67.61
151,A,Y,97.82,1,64.36,117.3
152,C,X,39.04,1,56.33,38.56
153,B,X,39.73,0,70.4,45.26
154,B,X,31.23,0,48.67,53.74
155,A,X,35.45,0,60.53,42.14
156,A,Y,105.11,1,56.27,96.19
157,B,X,28.71,1,53.93,74.43
158,A,Y,92.21,0,59.64,105.8
159,B,X,26.54,1,50.99,70.76
160,B,X,32.06,1,66.86,61.61
161,B,X,19.27,0,36.59,60.04
162,C,X,34.49,0,40.63,43.69
163,A,Y,92.98,0,47.99,108.62
164,B,X,41.03,0,63.66,52.31
165,B,X,29.96,0,42.53,58.72
166,C,X,28.95,0,43.87,49.28
167,B,X,28.89,1,54.13,72.74
168,C,X,28.43,0,39.91,45.28
169,B,X,25.65,1,62.57,77.49
170,B,X,29.54,0,52.08,60.82
171,B,X,27.81,0,46.14,57.59
172,A,Y,97.27,0,70.23,105.09
173,C,X,36.23,0,51.11,42.11
174,C,X,36.39,0,47.47,48.21
175,B,X,34.97,0,54.72,56.0
