wafer_id,station,param_name,value,timestamp
W155,final_test,leakage_na,1.1594,2026-06-01 12:23:00
W246,implant,tilt_deg,6.9405,2026-06-01 11:49:00
W199,etch,etch_time_sec,58.5324,2026-06-01 09:40:00
W200,deposition,uniformity_pct,97.5874,2026-06-01 09:49:00
W032,etch,etch_rate_nm_min,53.6115,2026-06-01 10:45:00
W177,litho,cd_nm,91.2606,2026-06-01 09:09:00
W128,etch,etch_time_sec,61.8748,2026-06-01 09:52:00
W011,litho,focus_um,1.1497,2026-06-01 08:59:00
W260,implant,energy_kev,51.5345,2026-06-01 10:38:00
W244,etch,etch_rate_nm_min,45.9707,2026-06-01 09:40:00
W028,implant,tilt_deg,7.1644,2026-06-01 11:32:00
W154,deposition,temp_c,398.0547,2026-06-01 10:26:00
W239,litho,cd_nm,87.0869,2026-06-01 09:13:00
W097,implant,tilt_deg,7.0464,2026-06-01 13:14:00
W099,final_test,yield_pct,95.9953,2026-06-01 13:09:00
W250,deposition,thickness_nm,101.9783,2026-06-01 10:57:00
W046,etch,pressure_torr,4.9685,2026-06-01 09:59:00
W270,final_test,speed_mhz,816.3017,2026-06-01 12:31:00
W183,litho,dose_mj,29.4964,2026-06-01 08:55:00
W125,etch,etch_time_sec,61.6683,2026-06-01 10:03:00
W165,deposition,temp_c,400.7812,2026-06-01 10:41:00
W132,deposition,temp_c,400.8861,2026-06-01 10:50:00
W220,final_test,speed_mhz,808.3778,2026-06-01 12:27:00
W248,deposition,temp_c,399.8634,2026-06-01 10:56:00
W273,deposition,uniformity_pct,95.9077,2026-06-01 10:30:00
W076,etch,etch_rate_nm_min,50.3777,2026-06-01 10:50:00
W108,litho,focus_um,0.929,2026-06-01 08:32:00
W096,final_test,leakage_na,0.7855,2026-06-01 13:34:00
W233,deposition,uniformity_pct,97.128,2026-06-01 10:29:00
W060,implant,tilt_deg,6.9938,2026-06-01 12:09:00
W269,litho,cd_nm,88.7542,2026-06-01 08:53:00
W212,etch,etch_time_sec,60.7631,2026-06-01 09:46:00
W032,deposition,thickness_nm,98.1738,2026-06-01 11:26:00
W295,litho,cd_nm,91.9803,2026-06-01 09:15:00
W285,implant,energy_kev,49.3838,2026-06-01 13:05:00
W243,etch,etch_rate_nm_min,52.8444,2026-06-01 09:41:00
W107,final_test,yield_pct,97.0783,2026-06-01 12:26:00
W125,litho,focus_um,1.0264,2026-06-01 08:39:00
W276,litho,dose_mj,28.468,2026-06-01 08:58:00
W244,implant,tilt_deg,7.0492,2026-06-01 11:37:00
W014,etch,etch_time_sec,60.0793,2026-06-01 10:48:00
W030,deposition,temp_c,401.3342,2026-06-01 11:02:00
W174,implant,energy_kev,48.1205,2026-06-01 12:29:00
W229,final_test,speed_mhz,806.6022,2026-06-01 13:15:00
W063,final_test,speed_mhz,810.6142,2026-06-01 12:52:00
W136,deposition,thickness_nm,100.9896,2026-06-01 10:00:00
W170,deposition,temp_c,401.4343,2026-06-01 11:28:00
W237,etch,etch_rate_nm_min,50.1937,2026-06-01 10:35:00
W049,litho,cd_nm,92.3906,2026-06-01 09:03:00
W080,implant,tilt_deg,7.0266,2026-06-01 12:18:00
W217,implant,energy_kev,50.5726,2026-06-01 11:26:00
W201,final_test,yield_pct,96.6351,2026-06-01 13:52:00
W123,final_test,speed_mhz,812.901,2026-06-01 11:55:00
W212,final_test,leakage_na,1.4029,2026-06-01 12:41:00
W246,deposition,uniformity_pct,98.4539,2026-06-01 10:42:00
W017,final_test,yield_pct,94.7502,2026-06-01 12:09:00
W011,deposition,uniformity_pct,98.4,2026-06-01 10:08:00
W020,litho,dose_mj,30.3289,2026-06-01 08:57:00
W104,final_test,leakage_na,0.8425,2026-06-01 13:07:00
W098,litho,focus_um,1.1668,2026-06-01 08:53:00
W287,litho,focus_um,0.8395,2026-06-01 09:12:00
W275,etch,etch_rate_nm_min,49.8462,2026-06-01 10:17:00
W091,final_test,yield_pct,68.0174,2026-06-01 12:53:00
W137,litho,dose_mj,31.9626,2026-06-01 09:16:00
W002,deposition,temp_c,401.7915,2026-06-01 11:24:00
W179,deposition,uniformity_pct,95.2461,2026-06-01 11:12:00
W047,etch,etch_rate_nm_min,45.5157,2026-06-01 09:26:00
W028,implant,energy_kev,51.1043,2026-06-01 11:32:00
W252,litho,cd_nm,90.7126,2026-06-01 09:22:00
W020,final_test,leakage_na,0.6486,2026-06-01 13:13:00
W266,litho,dose_mj,29.4929,2026-06-01 08:36:00
W254,deposition,uniformity_pct,96.8449,2026-06-01 10:09:00
W132,litho,dose_mj,30.6087,2026-06-01 08:43:00
W054,final_test,yield_pct,92.2532,2026-06-01 13:03:00
W173,etch,etch_rate_nm_min,48.9307,2026-06-01 10:36:00
W052,implant,tilt_deg,7.1891,2026-06-01 12:01:00
W219,litho,cd_nm,97.895,2026-06-01 09:14:00
W029,implant,dose_e14,5.1969,2026-06-01 11:05:00
W178,litho,cd_nm,91.1695,2026-06-01 09:08:00
W219,etch,pressure_torr,5.0711,2026-06-01 10:27:00
W176,deposition,temp_c,400.8439,2026-06-01 12:13:00
W022,deposition,uniformity_pct,97.5075,2026-06-01 10:47:00
W126,etch,etch_rate_nm_min,53.6531,2026-06-01 09:23:00
W108,etch,etch_time_sec,59.1834,2026-06-01 09:46:00
W115,deposition,temp_c,400.9974,2026-06-01 10:29:00
W051,final_test,speed_mhz,804.9881,2026-06-01 13:03:00
W129,etch,etch_time_sec,59.7402,2026-06-01 10:10:00
W150,deposition,uniformity_pct,98.6764,2026-06-01 10:44:00
W098,deposition,thickness_nm,100.3898,2026-06-01 10:15:00
W259,implant,dose_e14,4.8576,2026-06-01 11:21:00
W090,implant,dose_e14,5.0678,2026-06-01 13:06:00
W204,etch,etch_time_sec,58.6713,2026-06-01 10:15:00
W289,etch,etch_time_sec,60.6444,2026-06-01 09:26:00
W092,implant,energy_kev,49.192,2026-06-01 11:42:00
W105,etch,etch_rate_nm_min,46.7392,2026-06-01 10:24:00
W045,deposition,temp_c,400.721,2026-06-01 11:10:00
W293,final_test,speed_mhz,812.2146,2026-06-01 12:28:00
W152,etch,etch_time_sec,58.0696,2026-06-01 09:52:00
W179,final_test,leakage_na,1.2489,2026-06-01 13:08:00
W168,litho,cd_nm,86.4851,2026-06-01 09:20:00
W135,final_test,yield_pct,92.2345,2026-06-01 13:23:00
W176,etch,pressure_torr,4.806,2026-06-01 10:44:00
W275,implant,energy_kev,48.7502,2026-06-01 12:48:00
W148,etch,pressure_torr,4.8183,2026-06-01 09:50:00
W220,litho,cd_nm,94.5041,2026-06-01 08:42:00
W130,deposition,thickness_nm,98.5266,2026-06-01 11:39:00
W176,deposition,thickness_nm,100.8291,2026-06-01 12:13:00
