wafer_id,station,chamber,recipe,process_time_min,waiting_time_min,start_timestamp
W001,litho,C1,R101,10.26,0.0,2026-06-01 08:00:00.000000000
W001,etch,E1,R201,13.53,20.14,2026-06-01 08:10:15.362684809
W001,deposition,D2,R302,10.74,16.15,2026-06-01 08:43:55.531604293
W001,implant,I2,R401,6.3,55.93,2026-06-01 09:10:48.470921668
W001,final_test,T1,R501,12.81,54.05,2026-06-01 10:13:02.220098688
W002,litho,C2,R101,7.87,0.0,2026-06-01 08:00:00.000000000
W002,etch,E1,R201,5.08,43.03,2026-06-01 08:07:52.079012141
W002,deposition,D1,R301,12.7,53.34,2026-06-01 08:55:58.949327450
W002,implant,I2,R401,6.01,32.42,2026-06-01 10:02:01.400398347
W002,final_test,T1,R501,10.5,34.14,2026-06-01 10:40:27.363781089
W003,litho,C2,R101,13.34,0.0,2026-06-01 08:00:00.000000000
W003,etch,E2,R201,5.54,55.66,2026-06-01 08:13:20.368650116
W003,deposition,D2,R301,5.16,52.62,2026-06-01 09:14:32.663874695
W003,implant,I2,R401,11.97,50.63,2026-06-01 10:12:19.046268779
W003,final_test,T1,R501,6.51,14.18,2026-06-01 11:14:55.094883955
W004,litho,C1,R102,5.12,0.0,2026-06-01 08:00:00.000000000
W004,etch,E2,R201,8.32,13.32,2026-06-01 08:05:07.041698017
W004,deposition,D1,R301,10.4,41.4,2026-06-01 08:26:45.529250236
W004,implant,I1,R401,7.75,57.03,2026-06-01 09:18:33.413001053
W004,final_test,T1,R501,6.59,23.36,2026-06-01 10:23:20.413466827
W005,litho,C3,R101,8.97,0.0,2026-06-01 08:00:00.000000000
W005,etch,E2,R201,7.91,13.48,2026-06-01 08:08:58.051833354
W005,deposition,D1,R301,8.06,25.26,2026-06-01 08:30:21.219173316
W005,implant,I1,R401,12.57,36.96,2026-06-01 09:03:40.415338325
W005,final_test,T1,R501,10.26,14.01,2026-06-01 09:53:12.082290329
W006,litho,C1,R102,8.84,0.0,2026-06-01 08:00:00.000000000
W006,etch,E1,R201,12.26,11.11,2026-06-01 08:08:50.558145364
W006,deposition,D1,R302,5.92,53.6,2026-06-01 08:32:12.453018618
W006,implant,I2,R401,11.03,23.14,2026-06-01 09:31:43.874479475
W006,final_test,T1,R501,11.43,30.43,2026-06-01 10:05:54.361973850
W007,litho,C3,R101,10.82,0.0,2026-06-01 08:00:00.000000000
W007,etch,E1,R201,8.64,59.71,2026-06-01 08:10:48.988918273
W007,deposition,D2,R301,6.96,32.02,2026-06-01 09:19:10.131365596
W007,implant,I2,R401,12.03,12.17,2026-06-01 09:58:08.844075032
W007,final_test,T1,R501,7.64,13.23,2026-06-01 10:22:20.941216990
W008,litho,C3,R101,6.69,0.0,2026-06-01 08:00:00.000000000
W008,etch,E2,R201,7.65,51.8,2026-06-01 08:06:41.594463746
W008,deposition,D1,R302,7.17,22.15,2026-06-01 09:06:08.696898699
W008,implant,I2,R401,9.42,36.02,2026-06-01 09:35:27.942446620
W008,final_test,T1,R501,6.22,40.06,2026-06-01 10:20:54.148262675
W009,litho,C1,R101,13.58,0.0,2026-06-01 08:00:00.000000000
W009,etch,E2,R201,5.84,47.65,2026-06-01 08:13:34.908942923
W009,deposition,D2,R302,8.85,52.06,2026-06-01 09:07:04.288068217
W009,implant,I1,R401,12.61,52.75,2026-06-01 10:07:59.372910213
W009,final_test,T1,R501,14.7,47.59,2026-06-01 11:13:20.959727250
W010,litho,C3,R101,9.67,0.0,2026-06-01 08:00:00.000000000
W010,etch,E1,R201,10.47,18.36,2026-06-01 08:09:40.002767145
W010,deposition,D1,R301,10.5,18.27,2026-06-01 08:38:29.658415507
W010,implant,I2,R401,5.66,44.74,2026-06-01 09:07:15.873300109
W010,final_test,T1,R501,11.37,32.04,2026-06-01 09:57:39.691954842
W011,litho,C3,R102,12.14,0.0,2026-06-01 08:00:00.000000000
W011,etch,E1,R201,9.69,15.06,2026-06-01 08:12:08.158980128
W011,deposition,D1,R302,12.31,31.43,2026-06-01 08:36:53.328231390
W011,implant,I1,R401,10.2,29.85,2026-06-01 09:20:37.772213508
W011,final_test,T1,R501,14.88,52.39,2026-06-01 10:00:41.264792251
W012,litho,C1,R102,11.53,0.0,2026-06-01 08:00:00.000000000
W012,etch,E2,R201,7.85,11.71,2026-06-01 08:11:31.861842488
W012,deposition,D2,R301,6.38,53.63,2026-06-01 08:31:05.764801944
W012,implant,I2,R401,13.58,17.05,2026-06-01 09:31:06.111193963
W012,final_test,T1,R501,10.78,16.16,2026-06-01 10:01:43.880039974
W013,litho,C3,R101,6.1,0.0,2026-06-01 08:00:00.000000000
W013,etch,E2,R201,5.69,29.92,2026-06-01 08:06:06.198421130
W013,deposition,D1,R302,8.4,14.68,2026-06-01 08:41:42.596881889
W013,implant,I1,R401,9.09,47.8,2026-06-01 09:04:47.057302823
W013,final_test,T1,R501,8.38,52.24,2026-06-01 10:01:40.541979487
W014,litho,C1,R102,14.6,0.0,2026-06-01 08:00:00.000000000
W014,etch,E2,R201,12.09,40.58,2026-06-01 08:14:36.280563711
W014,deposition,D2,R301,7.79,20.62,2026-06-01 09:07:16.492108711
W014,implant,I2,R401,11.92,37.69,2026-06-01 09:35:40.993807815
W014,final_test,T1,R501,13.8,19.6,2026-06-01 10:25:17.824356903
W015,litho,C2,R102,7.15,0.0,2026-06-01 08:00:00.000000000
W015,etch,E1,R201,6.95,42.0,2026-06-01 08:07:08.863014069
W015,deposition,D2,R301,9.45,25.2,2026-06-01 08:56:05.879383307
W015,implant,I2,R401,12.47,50.37,2026-06-01 09:30:45.123205929
W015,final_test,T1,R501,12.87,30.17,2026-06-01 10:33:35.300977502
W016,litho,C3,R102,5.67,0.0,2026-06-01 08:00:00.000000000
W016,etch,E2,R201,6.11,52.63,2026-06-01 08:05:40.254916282
W016,deposition,D2,R302,9.71,50.48,2026-06-01 09:04:25.016813175
W016,implant,I1,R401,5.02,24.93,2026-06-01 10:04:36.501037905
W016,final_test,T1,R501,11.25,33.97,2026-06-01 10:34:33.309551884
W017,litho,C3,R101,12.17,0.0,2026-06-01 08:00:00.000000000
W017,etch,E2,R201,8.75,20.63,2026-06-01 08:12:10.228761596
W017,deposition,D1,R301,12.93,55.8,2026-06-01 08:41:32.999615893
W017,implant,I1,R401,14.59,53.05,2026-06-01 09:50:16.913280199
W017,final_test,T1,R501,7.34,23.67,2026-06-01 10:57:55.280723655
W018,litho,C2,R102,5.81,0.0,2026-06-01 08:00:00.000000000
W018,etch,E2,R201,11.61,37.82,2026-06-01 08:05:48.515827360
W018,deposition,D2,R301,13.87,48.76,2026-06-01 08:55:14.414320800
W018,implant,I2,R401,7.35,15.01,2026-06-01 09:57:51.898127961
W018,final_test,T1,R501,12.16,26.01,2026-06-01 10:20:13.124214638
W019,litho,C3,R102,5.54,0.0,2026-06-01 08:00:00.000000000
W019,etch,E2,R201,6.35,33.99,2026-06-01 08:05:32.221088007
W019,deposition,D2,R301,10.93,35.44,2026-06-01 08:45:52.932957513
W019,implant,I1,R401,7.79,46.91,2026-06-01 09:32:14.776321920
W019,final_test,T1,R501,14.52,23.53,2026-06-01 10:26:56.954652757
W020,litho,C1,R102,6.07,0.0,2026-06-01 08:00:00.000000000
W020,etch,E1,R201,5.78,24.84,2026-06-01 08:06:04.391778085
W020,deposition,D1,R301,12.8,11.31,2026-06-01 08:36:41.746018861
W020,implant,I2,R401,8.44,56.88,2026-06-01 09:00:48.366649217
W020,final_test,T1,R501,6.76,14.81,2026-06-01 10:06:07.681507305
W021,litho,C1,R102,11.04,0.0,2026-06-01 08:00:00.000000000
W021,etch,E2,R201,14.71,17.14,2026-06-01 08:11:02.257263366
W021,deposition,D2,R301,12.33,53.51,2026-06-01 08:42:53.592589038
W021,implant,I2,R401,5.3,37.64,2026-06-01 09:48:44.032177423
W021,final_test,T1,R501,10.87,19.54,2026-06-01 10:31:40.425506847
W022,litho,C1,R102,6.17,0.0,2026-06-01 08:00:00.000000000
W022,etch,E1,R201,5.66,36.15,2026-06-01 08:06:09.993892112
W022,deposition,D2,R301,13.52,12.02,2026-06-01 08:47:58.573652347
W022,implant,I2,R401,7.44,33.91,2026-06-01 09:13:30.804354278
W022,final_test,T1,R501,8.09,50.46,2026-06-01 09:54:52.074352415
W023,litho,C2,R102,8.1,0.0,2026-06-01 08:00:00.000000000
W023,etch,E2,R201,8.63,37.4,2026-06-01 08:08:06.199296989
W023,deposition,D2,R302,6.71,39.27,2026-06-01 08:54:08.209953722
W023,implant,I2,R401,14.52,36.37,2026-06-01 09:40:07.489994034
W023,final_test,T1,R501,6.28,12.16,2026-06-01 10:31:00.715339132
W024,litho,C1,R102,6.77,0.0,2026-06-01 08:00:00.000000000
W024,etch,E2,R201,5.81,39.54,2026-06-01 08:06:46.460770545
