wafer_id,station,param_name,value,timestamp
W155,final_test,leakage_na,1.2928,2026-06-01 11:13:05.299883985
W246,implant,tilt_deg,6.8925,2026-06-01 09:49:13.521588605
W199,etch,time_sec,59.7704,2026-06-01 08:09:44.322984951
W200,deposition,uniformity_pct,98.9298,2026-06-01 08:58:30.784006119
W032,etch,rate_nm_min,45.1629,2026-06-01 08:06:23.757535712
W177,litho,cd_nm,91.0177,2026-06-01 08:00:00.000000000
W128,etch,time_sec,60.8954,2026-06-01 08:09:57.681154196
W011,litho,focus_um,-0.1026,2026-06-01 08:00:00.000000000
W260,implant,energy_kev,49.0267,2026-06-01 09:11:23.837658267
W244,etch,rate_nm_min,53.152,2026-06-01 08:10:18.793998528
W028,implant,tilt_deg,7.1627,2026-06-01 09:44:59.861595300
W154,deposition,temp_c,400.3745,2026-06-01 08:53:45.728775666
W239,litho,cd_nm,91.4573,2026-06-01 08:00:00.000000000
W097,implant,tilt_deg,7.1675,2026-06-01 10:13:40.167368329
W099,final_test,pct,93.7469,2026-06-01 10:15:31.446144015
W250,deposition,thickness_nm,99.8073,2026-06-01 08:55:59.522052147
W046,etch,pressure_torr,5.0178,2026-06-01 08:14:07.013018460
W270,final_test,speed_mhz,811.3213,2026-06-01 10:45:32.639989993
W183,litho,dose_mj,28.2547,2026-06-01 08:00:00.000000000
W125,etch,time_sec,61.5967,2026-06-01 08:08:48.865947318
W165,deposition,temp_c,400.8697,2026-06-01 08:48:39.798012450
W132,deposition,temp_c,398.1998,2026-06-01 09:00:25.589799894
W220,final_test,speed_mhz,810.7154,2026-06-01 10:22:14.504007762
W248,deposition,temp_c,399.8486,2026-06-01 09:02:38.221443925
W273,deposition,uniformity_pct,98.3076,2026-06-01 08:53:10.837677288
W076,etch,rate_nm_min,54.0445,2026-06-01 08:06:28.719150741
W108,litho,focus_um,0.1019,2026-06-01 08:00:00.000000000
W096,final_test,leakage_na,0.8173,2026-06-01 10:18:45.162631588
