wafer_id,step,param,value
W0001,litho,cd_nm,90.8
W0001,etch,etch_depth_um,1.37
W0001,deposit,film_thickness_um,0.853
W0001,implant,dose_cm2,1.02e+15
W0002,litho,cd_nm,88.1
W0002,etch,etch_depth_um,1.65
W0002,deposit,film_thickness_um,0.746
W0002,implant,dose_cm2,9.99e+14
W0003,litho,cd_nm,90.2
W0003,etch,etch_depth_um,1.51
W0003,deposit,film_thickness_um,0.829
W0003,implant,dose_cm2,9.98e+14
W0004,litho,cd_nm,87.6
W0004,etch,etch_depth_um,1.66
W0004,deposit,film_thickness_um,0.742
W0004,implant,dose_cm2,9.88e+14
W0005,litho,cd_nm,88.4
W0005,etch,etch_depth_um,1.65
W0005,deposit,film_thickness_um,0.792
W0005,implant,dose_cm2,9.72e+14
W0006,litho,cd_nm,91.8
W0006,etch,etch_depth_um,1.47
W0006,deposit,film_thickness_um,0.834
W0006,implant,dose_cm2,9.96e+14
W0007,litho,cd_nm,82.0
W0007,etch,etch_depth_um,1.41
W0007,deposit,film_thickness_um,0.911
W0007,implant,dose_cm2,1.01e+15
W0008,litho,cd_nm,79.4
W0008,etch,etch_depth_um,1.41
W0008,deposit,film_thickness_um,0.793
W0008,implant,dose_cm2,1.00e+15
W0009,litho,cd_nm,82.4
W0009,etch,etch_depth_um,1.51
W0009,deposit,film_thickness_um,0.778
W0009,implant,dose_cm2,1.01e+15
W0010,litho,cd_nm,92.8
W0010,etch,etch_depth_um,1.53
W0010,deposit,film_thickness_um,0.929
W0010,implant,dose_cm2,9.91e+14
W0011,litho,cd_nm,81.3
W0011,etch,etch_depth_um,1.53
W0011,deposit,film_thickness_um,0.813
W0011,implant,dose_cm2,1.01e+15
W0012,litho,cd_nm,78.7
W0012,etch,etch_depth_um,1.52
W0012,deposit,film_thickness_um,0.758
W0012,implant,dose_cm2,9.94e+14
W0013,litho,cd_nm,91.8
W0013,etch,etch_depth_um,1.45
W0013,deposit,film_thickness_um,0.761
W0013,implant,dose_cm2,1.00e+15
W0014,litho,cd_nm,81.6
W0014,etch,etch_depth_um,1.32
W0014,deposit,film_thickness_um,0.664
W0014,implant,dose_cm2,9.90e+14
W0015,litho,cd_nm,87.7
W0015,etch,etch_depth_um,1.43
W0015,deposit,film_thickness_um,0.802
W0015,implant,dose_cm2,9.91e+14
W0016,litho,cd_nm,83.2
W0016,etch,etch_depth_um,1.36
W0016,deposit,film_thickness_um,0.887
W0016,implant,dose_cm2,1.02e+15
W0017,litho,cd_nm,89.1
W0017,etch,etch_depth_um,1.51
W0017,deposit,film_thickness_um,0.861
W0017,implant,dose_cm2,9.92e+14
W0018,litho,cd_nm,79.3
W0018,etch,etch_depth_um,1.48
W0018,deposit,film_thickness_um,0.797
W0018,implant,dose_cm2,1.01e+15
W0019,litho,cd_nm,85.1
W0019,etch,etch_depth_um,1.41
W0019,deposit,film_thickness_um,0.798
W0019,implant,dose_cm2,9.97e+14
W0020,litho,cd_nm,91.7
W0020,etch,etch_depth_um,1.43
W0020,deposit,film_thickness_um,0.776
W0020,implant,dose_cm2,1.00e+15
W0021,litho,cd_nm,89.6
W0021,etch,etch_depth_um,1.57
W0021,deposit,film_thickness_um,0.741
W0021,implant,dose_cm2,9.92e+14
W0022,litho,cd_nm,87.3
W0022,etch,etch_depth_um,1.64
W0022,deposit,film_thickness_um,0.808
W0022,implant,dose_cm2,9.98e+14
W0023,litho,cd_nm,89.8
W0023,etch,etch_depth_um,1.48
W0023,deposit,film_thickness_um,0.832
W0023,implant,dose_cm2,1.00e+15
W0024,litho,cd_nm,81.5
W0024,etch,etch_depth_um,1.53
W0024,deposit,film_thickness_um,0.767
W0024,implant,dose_cm2,1.01e+15
W0025,litho,cd_nm,84.3
W0025,etch,etch_depth_um,1.58
W0025,deposit,film_thickness_um,0.694
W0025,implant,dose_cm2,1.01e+15
W0026,litho,cd_nm,91.8
W0026,etch,etch_depth_um,1.44
W0026,deposit,film_thickness_um,0.67
W0026,implant,dose_cm2,9.90e+14
W0027,litho,cd_nm,86.3
W0027,etch,etch_depth_um,1.59
W0027,deposit,film_thickness_um,0.812
W0027,implant,dose_cm2,1.00e+15
W0028,litho,cd_nm,89.4
W0028,etch,etch_depth_um,1.56
W0028,deposit,film_thickness_um,0.764
W0028,implant,dose_cm2,1.01e+15
W0029,litho,cd_nm,88.3
W0029,etch,etch_depth_um,1.55
W0029,deposit,film_thickness_um,0.712
W0029,implant,dose_cm2,9.96e+14
W0030,litho,cd_nm,91.1
W0030,etch,etch_depth_um,1.52
W0030,deposit,film_thickness_um,0.845
W0030,implant,dose_cm2,1.01e+15
W0031,litho,cd_nm,87.0
W0031,etch,etch_depth_um,1.47
W0031,deposit,film_thickness_um,0.824
W0031,implant,dose_cm2,9.94e+14
W0032,litho,cd_nm,89.2
W0032,etch,etch_depth_um,1.37
W0032,deposit,film_thickness_um,0.887
W0032,implant,dose_cm2,1.00e+15
W0033,litho,cd_nm,84.8
W0033,etch,etch_depth_um,1.45
W0033,deposit,film_thickness_um,0.78
W0033,implant,dose_cm2,9.86e+14
W0034,litho,cd_nm,82.1
W0034,etch,etch_depth_um,1.37
W0034,deposit,film_thickness_um,0.759
W0034,implant,dose_cm2,1.00e+15
W0035,litho,cd_nm,91.6
W0035,etch,etch_depth_um,1.53
W0035,deposit,film_thickness_um,0.817
