wafer_id,line,step,chamber,recipe,process_time_min,waiting_time_min,temperature_c,pressure_bar,humidity_pct,equipment_age_years,timestamp,day
W0001,L2,litho,C2,R101,9.6,2.3,168.4,3.09,55.1,4.3,2026-05-01 06:58:11.665320,0
W0001,L2,etch,E2,R201,8.7,2.8,196.2,3.09,54.3,3.5,2026-05-01 10:06:44.253022,0
W0001,L2,deposit,D1,R301,11.2,2.3,206.1,3.04,49.0,11.7,2026-05-01 20:27:16.835931,0
W0001,L2,implant,I1,R401,11.9,0.9,183.5,3.09,56.0,8.8,2026-05-01 09:31:09.735966,0
W0002,L3,litho,C2,R101,9.6,0.6,214.2,2.86,49.6,6.3,2026-05-01 04:57:28.252002,0
W0002,L3,etch,E2,R201,7.2,2.3,214.6,3.15,48.1,4.4,2026-05-01 01:16:49.692536,0
W0002,L3,deposit,D2,R301,14.9,1.8,190.0,2.83,49.1,3.5,2026-05-01 22:33:53.476000,0
W0002,L3,implant,I2,R401,6.4,1.4,215.7,3.04,42.1,9.9,2026-05-01 14:06:17.122213,0
W0003,L3,litho,C2,R101,8.2,1.0,162.2,3.0,41.6,7.1,2026-05-01 20:59:58.128984,0
W0003,L3,etch,E1,R202,6.7,0.7,210.7,2.86,43.3,2.3,2026-05-01 08:44:48.862364,0
W0003,L3,deposit,D1,R301,10.0,2.3,186.0,3.05,46.5,7.7,2026-05-01 04:49:03.740069,0
W0003,L3,implant,I1,R401,13.4,2.3,175.4,3.1,48.1,10.5,2026-05-01 00:37:04.667211,0
W0004,L2,litho,C3,R101,12.9,2.3,217.0,2.92,52.0,4.5,2026-05-01 23:50:15.056498,0
W0004,L2,etch,E2,R201,7.5,3.0,174.0,2.99,51.2,6.1,2026-05-01 08:31:39.434907,0
W0004,L2,deposit,D2,R301,10.8,1.8,164.5,3.0,42.6,10.6,2026-05-01 23:42:34.593470,0
W0004,L2,implant,I1,R401,9.5,1.0,170.6,2.87,50.5,4.2,2026-05-01 17:10:34.406531,0
W0005,L3,litho,C2,R102,5.1,2.4,189.9,2.99,56.7,7.4,2026-05-01 22:31:04.651200,0
W0005,L3,etch,E2,R202,14.6,2.3,192.5,2.98,54.7,7.3,2026-05-01 23:56:59.601658,0
W0005,L3,deposit,D1,R301,6.2,0.9,191.7,3.12,56.8,7.8,2026-05-01 23:10:30.833464,0
W0005,L3,implant,I2,R401,8.4,2.0,161.6,3.05,44.4,7.9,2026-05-01 07:06:42.842309,0
W0006,L3,litho,C2,R102,11.4,2.2,192.6,3.14,46.2,8.7,2026-05-01 01:57:35.076674,0
W0006,L3,etch,E2,R202,13.3,2.9,165.0,3.18,44.7,3.4,2026-05-01 20:34:20.559309,0
W0006,L3,deposit,D1,R301,5.0,1.9,196.6,2.84,54.9,11.1,2026-05-01 21:24:45.060462,0
W0006,L3,implant,I1,R401,7.8,2.9,202.0,2.82,45.2,3.3,2026-05-01 01:23:35.679922,0
W0007,L2,litho,C1,R101,14.3,1.3,189.5,3.04,43.0,9.7,2026-05-01 19:46:04.015251,0
W0007,L2,etch,E2,R202,8.4,2.1,203.9,3.15,43.4,3.2,2026-05-01 02:20:58.702733,0
W0007,L2,deposit,D1,R301,6.1,2.5,166.5,3.09,41.1,4.2,2026-05-01 22:17:21.077838,0
W0007,L2,implant,I1,R401,10.3,0.9,163.4,2.81,59.7,5.2,2026-05-01 20:02:14.283961,0
W0008,L2,litho,C2,R101,13.9,1.6,203.9,3.12,44.0,11.7,2026-05-01 17:33:37.037533,0
W0008,L2,etch,E2,R201,13.8,2.2,176.4,3.16,42.4,3.9,2026-05-01 15:16:44.954965,0
W0008,L2,deposit,D2,R301,12.8,0.9,198.7,2.83,48.8,2.9,2026-05-01 04:10:27.357315,0
W0008,L2,implant,I1,R401,9.9,2.6,218.4,2.88,47.3,2.5,2026-05-01 08:31:01.250008,0
W0009,L1,litho,C3,R101,12.7,2.2,181.5,2.87,42.2,9.9,2026-05-01 15:59:09.250850,0
