wafer_id,step,param,value
W0001,litho,cd_nm,81.3
W0001,etch,etch_depth_um,1.36
W0001,deposit,film_thickness_um,0.833
W0001,implant,dose_cm2,9.87e+14
W0002,litho,cd_nm,81.7
W0002,etch,etch_depth_um,1.51
W0002,deposit,film_thickness_um,0.834
W0002,implant,dose_cm2,9.91e+14
W0003,litho,cd_nm,81.6
W0003,etch,etch_depth_um,1.44
W0003,deposit,film_thickness_um,0.816
W0003,implant,dose_cm2,9.83e+14
W0004,litho,cd_nm,88.9
W0004,etch,etch_depth_um,1.39
W0004,deposit,film_thickness_um,0.809
W0004,implant,dose_cm2,9.92e+14
W0005,litho,cd_nm,81.6
W0005,etch,etch_depth_um,1.45
W0005,deposit,film_thickness_um,0.824
W0005,implant,dose_cm2,9.92e+14
W0006,litho,cd_nm,81.1
W0006,etch,etch_depth_um,1.65
W0006,deposit,film_thickness_um,0.772
W0006,implant,dose_cm2,1.02e+15
W0007,litho,cd_nm,89.7
W0007,etch,etch_depth_um,1.46
W0007,deposit,film_thickness_um,0.857
W0007,implant,dose_cm2,9.95e+14
W0008,litho,cd_nm,80.3
W0008,etch,etch_depth_um,1.51
W0008,deposit,film_thickness_um,0.759
W0008,implant,dose_cm2,1.01e+15
W0009,litho,cd_nm,89.4
W0009,etch,etch_depth_um,1.24
W0009,deposit,film_thickness_um,0.777
W0009,implant,dose_cm2,9.76e+14
W0010,litho,cd_nm,88.8
W0010,etch,etch_depth_um,1.56
W0010,deposit,film_thickness_um,0.818
W0010,implant,dose_cm2,9.97e+14
W0011,litho,cd_nm,86.5
W0011,etch,etch_depth_um,1.67
W0011,deposit,film_thickness_um,0.815
W0011,implant,dose_cm2,1.02e+15
W0012,litho,cd_nm,92.2
W0012,etch,etch_depth_um,1.49
W0012,deposit,film_thickness_um,0.762
W0012,implant,dose_cm2,1.00e+15
W0013,litho,cd_nm,79.1
W0013,etch,etch_depth_um,1.27
W0013,deposit,film_thickness_um,0.783
W0013,implant,dose_cm2,9.94e+14
W0014,litho,cd_nm,91.6
W0014,etch,etch_depth_um,1.51
W0014,deposit,film_thickness_um,0.82
W0014,implant,dose_cm2,1.00e+15
W0015,litho,cd_nm,83.2
W0015,etch,etch_depth_um,1.41
W0015,deposit,film_thickness_um,0.767
W0015,implant,dose_cm2,1.01e+15
W0016,litho,cd_nm,83.1
W0016,etch,etch_depth_um,1.49
W0016,deposit,film_thickness_um,0.726
W0016,implant,dose_cm2,1.00e+15
W0017,litho,cd_nm,90.7
W0017,etch,etch_depth_um,1.56
W0017,deposit,film_thickness_um,0.786
W0017,implant,dose_cm2,1.00e+15
W0018,litho,cd_nm,84.5
W0018,etch,etch_depth_um,1.44
W0018,deposit,film_thickness_um,0.798
W0018,implant,dose_cm2,1.00e+15
W0019,litho,cd_nm,91.0
W0019,etch,etch_depth_um,1.49
W0019,deposit,film_thickness_um,0.722
W0019,implant,dose_cm2,1.01e+15
W0020,litho,cd_nm,91.1
W0020,etch,etch_depth_um,1.36
W0020,deposit,film_thickness_um,0.756
W0020,implant,dose_cm2,9.93e+14
W0021,litho,cd_nm,89.6
W0021,etch,etch_depth_um,1.63
W0021,deposit,film_thickness_um,0.849
W0021,implant,dose_cm2,1.01e+15
W0022,litho,cd_nm,89.0
W0022,etch,etch_depth_um,1.47
W0022,deposit,film_thickness_um,0.804
W0022,implant,dose_cm2,9.80e+14
W0023,litho,cd_nm,80.1
W0023,etch,etch_depth_um,1.48
W0023,deposit,film_thickness_um,0.854
W0023,implant,dose_cm2,1.01e+15
W0024,litho,cd_nm,91.8
W0024,etch,etch_depth_um,1.37
W0024,deposit,film_thickness_um,0.863
W0024,implant,dose_cm2,9.91e+14
W0025,litho,cd_nm,88.2
W0025,etch,etch_depth_um,1.53
W0025,deposit,film_thickness_um,0.79
W0025,implant,dose_cm2,1.00e+15
W0026,litho,cd_nm,83.4
W0026,etch,etch_depth_um,1.41
W0026,deposit,film_thickness_um,0.831
W0026,implant,dose_cm2,9.54e+14
W0027,litho,cd_nm,83.6
W0027,etch,etch_depth_um,1.34
W0027,deposit,film_thickness_um,0.821
W0027,implant,dose_cm2,1.00e+15
W0028,litho,cd_nm,89.8
W0028,etch,etch_depth_um,1.49
W0028,deposit,film_thickness_um,0.857
W0028,implant,dose_cm2,9.97e+14
W0029,litho,cd_nm,82.8
W0029,etch,etch_depth_um,1.61
W0029,deposit,film_thickness_um,0.861
W0029,implant,dose_cm2,9.98e+14
W0030,litho,cd_nm,78.5
W0030,etch,etch_depth_um,1.63
W0030,deposit,film_thickness_um,0.742
W0030,implant,dose_cm2,1.01e+15
W0031,litho,cd_nm,90.3
W0031,etch,etch_depth_um,1.55
W0031,deposit,film_thickness_um,0.763
W0031,implant,dose_cm2,1.00e+15
W0032,litho,cd_nm,84.6
W0032,etch,etch_depth_um,1.54
W0032,deposit,film_thickness_um,0.786
W0032,implant,dose_cm2,9.97e+14
W0033,litho,cd_nm,91.8
W0033,etch,etch_depth_um,1.47
W0033,deposit,film_thickness_um,0.786
W0033,implant,dose_cm2,9.89e+14
W0034,litho,cd_nm,81.1
W0034,etch,etch_depth_um,1.37
W0034,deposit,film_thickness_um,0.814
W0034,implant,dose_cm2,1.00e+15
W0035,litho,cd_nm,82.2
W0035,etch,etch_depth_um,1.49
W0035,deposit,film_thickness_um,0.746
W0035,implant,dose_cm2,1.01e+15
W0036,litho,cd_nm,87.2
W0036,etch,etch_depth_um,1.52
W0036,deposit,film_thickness_um,0.831
