timestamp,line,measurement_mm,day
2026-05-01 00:00:00,L1,10.004,0
2026-05-01 01:00:00,L1,10.02,0
2026-05-01 02:00:00,L1,10.117,0
2026-05-01 03:00:00,L1,10.048,0
2026-05-01 04:00:00,L1,10.018,0
2026-05-01 05:00:00,L1,10.028,0
2026-05-01 06:00:00,L1,10.024,0
2026-05-01 07:00:00,L1,10.041,0
2026-05-01 08:00:00,L1,10.064,0
2026-05-01 09:00:00,L1,9.857,0
2026-05-01 10:00:00,L1,9.933,0
2026-05-01 11:00:00,L1,9.985,0
2026-05-01 12:00:00,L1,10.035,0
2026-05-01 13:00:00,L1,9.928,0
2026-05-01 14:00:00,L1,10.052,0
2026-05-01 15:00:00,L1,10.062,0
2026-05-01 16:00:00,L1,9.859,0
2026-05-01 17:00:00,L1,10.056,0
2026-05-01 18:00:00,L1,9.871,0
2026-05-01 19:00:00,L1,10.068,0
2026-05-01 20:00:00,L1,10.041,0
2026-05-01 21:00:00,L1,10.122,0
2026-05-01 22:00:00,L1,9.791,0
2026-05-01 23:00:00,L1,10.039,0
2026-05-01 00:00:00,L2,10.087,0
2026-05-01 01:00:00,L2,10.063,0
2026-05-01 02:00:00,L2,9.95,0
2026-05-01 03:00:00,L2,9.993,0
2026-05-01 04:00:00,L2,10.138,0
2026-05-01 05:00:00,L2,9.905,0
2026-05-01 06:00:00,L2,10.073,0
2026-05-01 07:00:00,L2,9.961,0
2026-05-01 08:00:00,L2,10.297,0
2026-05-01 09:00:00,L2,10.109,0
2026-05-01 10:00:00,L2,9.859,0
2026-05-01 11:00:00,L2,9.994,0
2026-05-01 12:00:00,L2,10.099,0
2026-05-01 13:00:00,L2,10.03,0
2026-05-01 14:00:00,L2,9.859,0
2026-05-01 15:00:00,L2,10.226,0
2026-05-01 16:00:00,L2,9.906,0
2026-05-01 17:00:00,L2,10.078,0
2026-05-01 18:00:00,L2,9.758,0
2026-05-01 19:00:00,L2,10.017,0
2026-05-01 20:00:00,L2,9.964,0
2026-05-01 21:00:00,L2,10.026,0
2026-05-01 22:00:00,L2,9.89,0
2026-05-01 23:00:00,L2,9.98,0
2026-05-01 00:00:00,L3,9.979,0
2026-05-01 01:00:00,L3,10.15,0
2026-05-01 02:00:00,L3,9.729,0
2026-05-01 03:00:00,L3,10.051,0
2026-05-01 04:00:00,L3,10.005,0
2026-05-01 05:00:00,L3,10.22,0
2026-05-01 06:00:00,L3,9.823,0
2026-05-01 07:00:00,L3,9.673,0
2026-05-01 08:00:00,L3,10.146,0
2026-05-01 09:00:00,L3,9.64,0
2026-05-01 10:00:00,L3,10.339,0
2026-05-01 11:00:00,L3,9.94,0
2026-05-01 12:00:00,L3,9.684,0
2026-05-01 13:00:00,L3,10.15,0
2026-05-01 14:00:00,L3,9.911,0
2026-05-01 15:00:00,L3,9.964,0
2026-05-01 16:00:00,L3,9.645,0
2026-05-01 17:00:00,L3,9.841,0
2026-05-01 18:00:00,L3,9.89,0
2026-05-01 19:00:00,L3,10.178,0
2026-05-01 20:00:00,L3,9.766,0
2026-05-01 21:00:00,L3,9.854,0
2026-05-01 22:00:00,L3,9.451,0
2026-05-01 23:00:00,L3,10.092,0
2026-05-02 00:00:00,L1,10.115,1
2026-05-02 01:00:00,L1,10.119,1
2026-05-02 02:00:00,L1,9.89,1
2026-05-02 03:00:00,L1,9.889,1
2026-05-02 04:00:00,L1,9.911,1
2026-05-02 05:00:00,L1,9.926,1
2026-05-02 06:00:00,L1,10.054,1
2026-05-02 07:00:00,L1,10.112,1
2026-05-02 08:00:00,L1,9.863,1
2026-05-02 09:00:00,L1,9.979,1
2026-05-02 10:00:00,L1,9.997,1
2026-05-02 11:00:00,L1,9.881,1
2026-05-02 12:00:00,L1,10.169,1
2026-05-02 13:00:00,L1,9.949,1
2026-05-02 14:00:00,L1,10.017,1
2026-05-02 15:00:00,L1,9.961,1
2026-05-02 16:00:00,L1,9.978,1
2026-05-02 17:00:00,L1,10.045,1
2026-05-02 18:00:00,L1,9.984,1
2026-05-02 19:00:00,L1,9.873,1
2026-05-02 20:00:00,L1,9.908,1
2026-05-02 21:00:00,L1,9.897,1
2026-05-02 22:00:00,L1,10.102,1
2026-05-02 23:00:00,L1,10.005,1
2026-05-02 00:00:00,L2,9.933,1
2026-05-02 01:00:00,L2,9.975,1
2026-05-02 02:00:00,L2,10.117,1
2026-05-02 03:00:00,L2,10.276,1
2026-05-02 04:00:00,L2,10.022,1
2026-05-02 05:00:00,L2,9.891,1
2026-05-02 06:00:00,L2,10.119,1
2026-05-02 07:00:00,L2,9.872,1
2026-05-02 08:00:00,L2,9.91,1
2026-05-02 09:00:00,L2,10.033,1
2026-05-02 10:00:00,L2,9.921,1
2026-05-02 11:00:00,L2,10.03,1
2026-05-02 12:00:00,L2,10.057,1
2026-05-02 13:00:00,L2,9.931,1
2026-05-02 14:00:00,L2,10.029,1
2026-05-02 15:00:00,L2,9.989,1
2026-05-02 16:00:00,L2,9.831,1
2026-05-02 17:00:00,L2,9.897,1
2026-05-02 18:00:00,L2,10.079,1
2026-05-02 19:00:00,L2,9.886,1
2026-05-02 20:00:00,L2,10.118,1
2026-05-02 21:00:00,L2,9.822,1
2026-05-02 22:00:00,L2,9.909,1
2026-05-02 23:00:00,L2,9.871,1
2026-05-02 00:00:00,L3,10.242,1
2026-05-02 01:00:00,L3,9.688,1
2026-05-02 02:00:00,L3,9.896,1
2026-05-02 03:00:00,L3,10.15,1
2026-05-02 04:00:00,L3,10.086,1
2026-05-02 05:00:00,L3,9.808,1
2026-05-02 06:00:00,L3,10.09,1
2026-05-02 07:00:00,L3,9.858,1
2026-05-02 08:00:00,L3,9.943,1
2026-05-02 09:00:00,L3,9.991,1
2026-05-02 10:00:00,L3,9.829,1
2026-05-02 11:00:00,L3,10.008,1
2026-05-02 12:00:00,L3,9.655,1
2026-05-02 13:00:00,L3,10.188,1
2026-05-02 14:00:00,L3,9.75,1
2026-05-02 15:00:00,L3,9.882,1
2026-05-02 16:00:00,L3,9.8,1
2026-05-02 17:00:00,L3,10.138,1
2026-05-02 18:00:00,L3,10.188,1
2026-05-02 19:00:00,L3,9.765,1
2026-05-02 20:00:00,L3,9.634,1
2026-05-02 21:00:00,L3,9.659,1
2026-05-02 22:00:00,L3,9.908,1
