order_id,order_date,region,variant,converted,revenue,session_duration_sec,bounced
O000001,2024-06-01,North,treatment,0,0.0,307,1
O000002,2024-06-01,West,control,0,0.0,290,0
O000003,2024-06-01,South,treatment,0,0.0,260,0
O000004,2024-06-01,South,control,0,0.0,322,0
O000005,2024-06-01,North,treatment,0,0.0,248,0
O000006,2024-06-01,West,control,0,0.0,322,1
O000007,2024-06-01,North,treatment,0,0.0,284,1
O000008,2024-06-01,North,control,1,20.14,298,1
O000009,2024-06-01,North,control,0,0.0,264,0
O000010,2024-06-01,West,treatment,0,0.0,211,1
O000011,2024-06-01,West,treatment,0,0.0,239,1
O000012,2024-06-01,North,treatment,0,0.0,235,1
O000013,2024-06-01,South,control,0,0.0,265,0
O000014,2024-06-01,West,control,0,0.0,286,0
O000015,2024-06-01,South,control,1,45.09,300,0
O000016,2024-06-01,North,control,1,12.01,344,0
O000017,2024-06-01,North,treatment,0,0.0,254,0
O000018,2024-06-01,North,treatment,0,0.0,215,1
O000019,2024-06-01,North,treatment,0,0.0,207,1
O000020,2024-06-01,West,control,0,0.0,319,0
O000021,2024-06-01,South,control,0,0.0,324,1
O000022,2024-06-01,South,control,0,0.0,383,1
O000023,2024-06-01,South,treatment,0,0.0,232,1
O000024,2024-06-01,North,control,0,0.0,330,0
O000025,2024-06-01,West,treatment,0,0.0,190,0
O000026,2024-06-01,North,control,0,0.0,323,1
O000027,2024-06-01,North,control,0,0.0,320,0
O000028,2024-06-01,West,control,0,0.0,253,1
O000029,2024-06-01,North,control,0,0.0,317,0
O000030,2024-06-01,West,treatment,0,0.0,258,0
O000031,2024-06-01,North,control,0,0.0,263,1
O000032,2024-06-01,West,control,1,30.37,310,1
O000033,2024-06-01,West,control,0,0.0,351,0
O000034,2024-06-01,West,treatment,0,0.0,286,0
O000035,2024-06-01,South,control,0,0.0,344,0
O000036,2024-06-01,South,control,0,0.0,299,0
O000037,2024-06-01,South,control,0,0.0,275,0
O000038,2024-06-01,South,control,0,0.0,306,1
O000039,2024-06-01,West,control,0,0.0,300,0
O000040,2024-06-01,West,treatment,0,0.0,243,0
O000041,2024-06-01,North,control,1,39.28,315,1
O000042,2024-06-01,West,control,0,0.0,307,0
O000043,2024-06-01,South,treatment,0,0.0,273,0
O000044,2024-06-01,North,treatment,1,3.63,209,1
O000045,2024-06-01,West,treatment,0,0.0,253,0
O000046,2024-06-01,West,control,0,0.0,337,0
O000047,2024-06-01,North,treatment,0,0.0,178,0
O000048,2024-06-01,North,treatment,0,0.0,261,0
O000049,2024-06-01,North,control,0,0.0,317,1
O000050,2024-06-01,South,control,0,0.0,280,0
O000051,2024-06-01,North,treatment,0,0.0,263,1
O000052,2024-06-01,North,control,1,10.27,353,1
O000053,2024-06-01,North,treatment,0,0.0,266,0
O000054,2024-06-01,North,treatment,0,0.0,290,0
O000055,2024-06-01,North,control,0,0.0,303,1
O000056,2024-06-01,West,control,0,0.0,300,1
O000057,2024-06-01,West,treatment,0,0.0,234,1
O000058,2024-06-01,North,treatment,0,0.0,281,0
O000059,2024-06-01,North,control,1,49.87,263,0
O000060,2024-06-01,North,control,0,0.0,325,0
O000061,2024-06-01,South,control,0,0.0,312,0
O000062,2024-06-01,South,treatment,0,0.0,282,1
O000063,2024-06-01,North,treatment,0,0.0,270,1
O000064,2024-06-01,North,treatment,1,21.08,265,1
O000065,2024-06-01,South,control,0,0.0,247,0
O000066,2024-06-01,North,treatment,0,0.0,291,0
O000067,2024-06-01,South,treatment,0,0.0,228,1
O000068,2024-06-01,South,control,0,0.0,304,1
O000069,2024-06-01,North,control,1,39.16,298,0
O000070,2024-06-01,North,treatment,0,0.0,232,0
O000071,2024-06-01,North,control,1,22.42,308,1
O000072,2024-06-01,North,treatment,0,0.0,307,0
O000073,2024-06-01,North,control,0,0.0,280,0
O000074,2024-06-01,North,control,0,0.0,334,0
O000075,2024-06-01,West,control,0,0.0,307,1
O000076,2024-06-01,North,treatment,0,0.0,301,0
O000077,2024-06-01,West,control,0,0.0,273,0
O000078,2024-06-01,North,treatment,0,0.0,247,0
O000079,2024-06-01,West,control,0,0.0,296,0
O000080,2024-06-01,North,treatment,0,0.0,238,0
O000081,2024-06-01,North,treatment,0,0.0,274,1
O000082,2024-06-01,West,treatment,0,0.0,272,1
O000083,2024-06-01,West,control,0,0.0,264,1
O000084,2024-06-01,North,treatment,1,15.44,282,0
O000085,2024-06-01,South,control,0,0.0,273,0
O000086,2024-06-01,West,treatment,0,0.0,255,0
O000087,2024-06-01,North,control,0,0.0,349,0
O000088,2024-06-01,South,treatment,0,0.0,286,1
O000089,2024-06-01,West,control,0,0.0,320,0
O000090,2024-06-01,North,treatment,0,0.0,275,0
O000091,2024-06-01,North,control,0,0.0,322,1
O000092,2024-06-01,West,treatment,0,0.0,272,0
O000093,2024-06-01,South,control,1,20.75,272,0
O000094,2024-06-01,North,treatment,0,0.0,301,0
O000095,2024-06-01,North,treatment,0,0.0,270,0
O000096,2024-06-01,West,control,0,0.0,324,0
O000097,2024-06-01,North,control,0,0.0,307,0
O000098,2024-06-01,North,treatment,0,0.0,292,0
O000099,2024-06-01,North,treatment,0,0.0,255,1
O000100,2024-06-01,South,treatment,0,0.0,274,1
O000101,2024-06-01,South,control,0,0.0,217,1
O000102,2024-06-01,West,control,0,0.0,311,0
O000103,2024-06-01,South,treatment,0,0.0,216,0
O000104,2024-06-01,West,control,0,0.0,334,0
O000105,2024-06-01,North,control,0,0.0,252,0
O000106,2024-06-01,North,treatment,1,27.78,244,1
O000107,2024-06-01,West,control,0,0.0,280,1
O000108,2024-06-01,North,control,0,0.0,369,0
O000109,2024-06-01,West,control,0,0.0,293,1
O000110,2024-06-01,South,control,0,0.0,264,0
O000111,2024-06-01,South,control,0,0.0,264,0
O000112,2024-06-01,North,treatment,0,0.0,266,0
O000113,2024-06-01,North,treatment,0,0.0,307,0
O000114,2024-06-01,West,treatment,0,0.0,255,1
O000115,2024-06-01,West,treatment,0,0.0,266,0
O000116,2024-06-01,North,control,0,0.0,291,0
O000117,2024-06-01,North,treatment,0,0.0,259,0
O000118,2024-06-01,West,control,0,0.0,259,1
O000119,2024-06-01,West,treatment,1,42.65,203,1
